Country,HappinessRank,HappinessScore,Whisker.high,Whisker.low,EconomyGDPperCapita,Family,HealthLifeExpectancy,Freedom,Generosity,TrustGovernmentCorruption,DystopiaResidual
Russia,49,5.963,6.03027,5.89572,1.28178,1.46928,0.54735,0.37378,0.05226,0.03296,2.20561
Belize,50,5.956,6.19724,5.71476,0.90798,1.08142,0.45019,0.54751,0.24002,0.09658,2.63196
Japan,51,5.92,5.99072,5.84928,1.41692,1.43634,0.91348,0.50563,0.12057,0.16376,1.36322
Lithuania,52,5.902,5.98267,5.82133,1.31458,1.47352,0.62895,0.23423,0.01016,0.01187,2.22844
Algeria,53,5.872,5.97829,5.76571,1.09186,1.14622,0.61758,0.23334,0.06944,0.1461,2.5676
Latvia,54,5.85,5.92026,5.77974,1.26075,1.40471,0.63857,0.32571,0.15307,0.07384,1.99366
South Korea,55,5.838,5.92256,5.75344,1.40168,1.12827,0.90021,0.25792,0.20667,0.06328,1.88038
Moldova,56,5.838,5.90837,5.76763,0.72887,1.25183,0.58947,0.24073,0.20878,0.01009,2.80781
Romania,57,5.825,5.91969,5.73031,1.21768,1.15009,0.68516,0.457,0.13352,0.00439,2.17683
Bolivia,58,5.823,5.90398,5.74202,0.83376,1.22762,0.47363,0.55873,0.22556,0.06048,2.44328
Turkmenistan,59,5.822,5.88518,5.75882,1.13078,1.49315,0.43773,0.41827,0.24992,0.25927,1.83291
Kazakhstan,60,5.819,5.90364,5.73436,1.28456,1.38437,0.60604,0.43745,0.20196,0.11928,1.78489
North Cyprus,61,5.81,5.89737,5.72263,1.34691,1.1863,0.83465,0.4712,0.26685,0.15535,1.54916
Slovenia,62,5.758,5.84223,5.67377,1.34121,1.45252,0.79083,0.57258,0.24265,0.04513,1.31332
Peru,63,5.715,5.81195,5.61805,1.03523,1.21877,0.63017,0.45,0.12682,0.04705,2.20727
Mauritius,64,5.629,5.72986,5.52814,1.1894,1.20956,0.63801,0.49125,0.36093,0.04218,1.69758
Cyprus,65,5.621,5.71469,5.52731,1.35594,1.13136,0.84471,0.35511,0.27125,0.04124,1.62125
Estonia,66,5.611,5.68814,5.53386,1.32088,1.47667,0.69517,0.47913,0.09889,0.18325,1.35751
Belarus,67,5.569,5.64611,5.49189,1.15656,1.44495,0.63771,0.2954,0.15514,0.15631,1.72323
Libya,68,5.525,5.67695,5.37305,1.1018,1.35756,0.52017,0.46573,0.15207,0.09261,1.83501
Turkey,69,5.5,5.59486,5.40514,1.19827,1.33775,0.63761,0.30074,0.04669,0.09967,1.87928
Paraguay,70,5.493,5.57738,5.40862,0.93254,1.50728,0.57925,0.47351,0.22415,0.09107,1.68533
"Hong Kong S.A.R., China",71,5.472,5.54959,5.39441,1.55167,1.26279,0.94306,0.49097,0.37447,0.29393,0.55463
Philippines,72,5.43,5.54534,5.31466,0.8577,1.25392,0.46801,0.58521,0.19351,0.09933,1.9726
Serbia,73,5.395,5.49157,5.29843,1.06932,1.25819,0.65078,0.20872,0.22013,0.0409,1.94708
Jordan,74,5.336,5.44841,5.22359,0.99101,1.23909,0.60459,0.41842,0.17217,0.1198,1.79118
Hungary,75,5.324,5.40304,5.24496,1.28601,1.34313,0.68776,0.17586,0.0784,0.03664,1.71646
Jamaica,76,5.311,5.5814,5.0406,0.92558,1.36822,0.64102,0.47431,0.23382,0.05527,1.61233
Croatia,77,5.293,5.39178,5.19422,1.22256,0.96798,0.70129,0.25577,0.248,0.0431,1.85449
Kosovo,78,5.279,5.36485,5.19315,0.95148,1.13785,0.54145,0.26029,0.31993,0.05747,2.01054
China,79,5.273,5.31928,5.22672,1.08117,1.16084,0.74142,0.47279,0.02881,0.02279,1.76494
Pakistan,80,5.269,5.35998,5.17802,0.72688,0.67269,0.40205,0.23522,0.31545,0.12435,2.79249
Indonesia,81,5.262,5.35289,5.17111,0.99554,1.27444,0.49235,0.44332,0.6117,0.01532,1.42948
Venezuela,82,5.25,5.37003,5.12997,1.12843,1.43134,0.61714,0.154,0.06502,0.06449,1.78946
Montenegro,83,5.237,5.34104,5.13296,1.12113,1.23838,0.66746,0.19499,0.19791,0.08817,1.72919
Morocco,84,5.235,5.31834,5.15166,0.87811,0.77486,0.59771,0.40816,0.03221,0.08776,2.45619
Azerbaijan,85,5.234,5.29929,5.16871,1.1536,1.1524,0.54078,0.39816,0.04527,0.18099,1.76248
Dominican Republic,86,5.23,5.34906,5.11094,1.07937,1.40242,0.57487,0.55259,0.18697,0.11395,1.31947
Greece,87,5.227,5.32525,5.12875,1.28949,1.23941,0.8102,0.09573,0,0.04329,1.74922
Lebanon,88,5.225,5.31888,5.13112,1.07499,1.12962,0.73508,0.28852,0.26445,0.03751,1.69507
Portugal,89,5.195,5.28504,5.10496,1.31518,1.36704,0.79584,0.49847,0.0951,0.01587,1.10768
Bosnia and Herzegovina,90,5.182,5.27634,5.08766,0.98241,1.06934,0.70519,0.2044,0.32887,0,1.89217
Honduras,91,5.181,5.30158,5.06042,0.73057,1.14394,0.58257,0.34808,0.23619,0.07335,2.06581
Macedonia,92,5.175,5.27217,5.07783,1.06458,1.20789,0.64495,0.32591,0.25376,0.06028,1.61747
Somalia,93,5.151,5.24248,5.05952,0.02264,0.72115,0.11399,0.60213,0.29163,0.28241,3.11748
Vietnam,94,5.074,5.14728,5.00072,0.78855,1.27749,0.65217,0.57106,0.23497,0.08763,1.46232
Nigeria,95,5.074,5.2095,4.9385,0.78376,1.21577,0.05692,0.39495,0.23095,0.02612,2.36539
Tajikistan,96,5.041,5.11143,4.97057,0.52471,1.27146,0.52924,0.47157,0.249,0.14638,1.84905
Bhutan,97,5.011,5.07933,4.94267,0.88542,1.34013,0.49588,0.50154,0.47405,0.17338,1.14018
Kyrgyzstan,98,5.004,5.08992,4.91808,0.59622,1.39424,0.55346,0.45494,0.42858,0.03944,1.53672
Nepal,99,4.962,5.06736,4.85664,0.47982,1.17928,0.50413,0.44031,0.3941,0.07298,1.89124
Mongolia,100,4.955,5.02168,4.88832,1.02724,1.49301,0.55778,0.39414,0.33846,0.0329,1.11129
South Africa,101,4.829,4.92944,4.72856,1.0547,1.38479,0.18708,0.47925,0.13936,0.07251,1.51091
Tunisia,102,4.805,4.88437,4.72563,1.00727,0.86835,0.61321,0.28968,0.04969,0.08672,1.89025
Palestinian Territories,103,4.775,4.88185,4.66815,0.71625,1.15565,0.56567,0.25471,0.11417,0.08928,1.87889
Egypt,104,4.735,4.82513,4.64487,0.9897,0.99747,0.52019,0.28211,0.12863,0.11438,1.70216
Bulgaria,105,4.714,4.80369,4.62431,1.16146,1.43438,0.70822,0.28923,0.11318,0.01105,0.99614
Sierra Leone,106,4.709,4.85064,4.56736,0.36842,0.98414,0.00556,0.3187,0.29304,0.0711,2.66846
Cameroon,107,4.695,4.79654,4.59346,0.56431,0.94602,0.13289,0.43039,0.2363,0.05131,2.33365
Iran,108,4.692,4.79822,4.58578,1.15687,0.71155,0.63933,0.24932,0.38724,0.04876,1.49873
Albania,109,4.644,4.75246,4.53554,0.99619,0.80369,0.73116,0.3815,0.20131,0.03986,1.49044
Bangladesh,110,4.608,4.68982,4.52618,0.58668,0.73513,0.53324,0.47836,0.17226,0.12372,1.97874
Namibia,111,4.574,4.77035,4.37765,0.96443,1.09847,0.33861,0.5203,0.07713,0.09315,1.48189
Kenya,112,4.553,4.65569,4.45031,0.56048,1.06795,0.30999,0.45276,0.44486,0.06464,1.6519
Mozambique,113,4.55,4.7741,4.3259,0.23431,0.8707,0.10665,0.48079,0.32223,0.17944,2.35565
Myanmar,114,4.545,4.61474,4.47526,0.36711,1.12324,0.39752,0.51449,0.83808,0.18882,1.11529
Senegal,115,4.535,4.6016,4.4684,0.47931,1.17969,0.40936,0.37792,0.18347,0.11546,1.78965
Zambia,116,4.514,4.64411,4.38389,0.63641,1.00319,0.25784,0.4616,0.24958,0.07821,1.82671
Iraq,117,4.497,4.62259,4.37141,1.10271,0.97861,0.50118,0.28856,0.19964,0.10722,1.31891
Gabon,118,4.465,4.55736,4.37264,1.19821,1.15562,0.35658,0.31233,0.04379,0.07605,1.32292
Ethiopia,119,4.46,4.54273,4.37727,0.33923,0.86467,0.35341,0.40884,0.31265,0.16546,2.01574
Sri Lanka,120,4.44,4.55345,4.32655,1.00985,1.25998,0.62513,0.56121,0.49086,0.07365,0.41939
Armenia,121,4.376,4.46673,4.28527,0.9006,1.00748,0.63752,0.1983,0.08349,0.02667,1.5215
India,122,4.315,4.37152,4.25848,0.79222,0.75437,0.45543,0.46999,0.23154,0.09223,1.51912
Mauritania,123,4.292,4.37716,4.20684,0.64846,1.27203,0.28535,0.0961,0.20187,0.13696,1.65164
Congo (Brazzaville),124,4.291,4.41005,4.17195,0.80896,0.83204,0.28996,0.43503,0.12085,0.07962,1.72414
Georgia,125,4.286,4.37493,4.19707,0.95061,0.57061,0.64955,0.30941,0.05401,0.25167,1.50014
Congo (Kinshasa),126,4.28,4.35781,4.20219,0.0921,1.22902,0.19141,0.23596,0.24646,0.06024,2.22496
Mali,127,4.19,4.26967,4.11033,0.47618,1.28147,0.16937,0.30661,0.18335,0.10497,1.66819
Ivory Coast,128,4.18,4.27518,4.08482,0.60305,0.90478,0.04864,0.44771,0.20124,0.13006,1.84496
Cambodia,129,4.168,4.27852,4.05748,0.60177,1.00624,0.42978,0.63338,0.38592,0.06811,1.04294
Sudan,130,4.139,4.34575,3.93225,0.65952,1.21401,0.29092,0.015,0.18232,0.08985,1.68707
Ghana,131,4.12,4.22271,4.01729,0.66722,0.87366,0.29564,0.42303,0.25692,0.02534,1.57787
Ukraine,132,4.096,4.18541,4.00659,0.89465,1.39454,0.5759,0.12297,0.27006,0.02303,0.81438
Uganda,133,4.081,4.1958,3.9662,0.38143,1.12983,0.21763,0.44319,0.32577,0.05707,1.52636
Burkina Faso,134,4.032,4.12406,3.93994,0.35023,1.04328,0.21584,0.32437,0.25086,0.12033,1.72721
Niger,135,4.028,4.11195,3.94405,0.16193,0.99303,0.26851,0.36366,0.22867,0.13857,1.87398
Malawi,136,3.97,4.07748,3.86252,0.23344,0.51257,0.31509,0.46691,0.28717,0.07271,2.08179
Chad,137,3.936,4.03471,3.83729,0.43801,0.95386,0.04113,0.16234,0.21611,0.05358,2.07124
Zimbabwe,138,3.875,3.9787,3.7713,0.37585,1.0831,0.19676,0.33638,0.18914,0.09538,1.59797
Lesotho,139,3.808,4.04434,3.57166,0.52102,1.1901,0,0.39066,0.1575,0.11909,1.42984
Angola,140,3.795,3.95164,3.63836,0.85843,1.10441,0.04987,0,0.09793,0.06972,1.61448
Afghanistan,141,3.794,3.87366,3.71434,0.40148,0.58154,0.18075,0.10618,0.31187,0.06116,2.1508
Botswana,142,3.766,3.87412,3.65788,1.12209,1.22155,0.34176,0.5052,0.09935,0.09858,0.37791
Benin,143,3.657,3.74578,3.56822,0.43109,0.4353,0.20993,0.42596,0.20795,0.06093,1.88563
Madagascar,144,3.644,3.71432,3.57368,0.30581,0.91302,0.37522,0.1892,0.20873,0.06723,1.58461
Haiti,145,3.603,3.73471,3.47129,0.36861,0.64045,0.27732,0.03037,0.4892,0.09987,1.69717
Yemen,146,3.593,3.69275,3.49325,0.59168,0.93538,0.31008,0.24946,0.10413,0.05677,1.3456
South Sudan,147,3.591,3.72554,3.45646,0.39725,0.60132,0.16349,0.14706,0.28567,0.11679,1.87957
Liberia,148,3.533,3.65376,3.41224,0.11904,0.87212,0.22992,0.33288,0.26655,0.03895,1.67329
Guinea,149,3.507,3.58443,3.42957,0.24455,0.79124,0.19413,0.34859,0.26482,0.11094,1.55231
Togo,150,3.495,3.59404,3.39596,0.30544,0.43188,0.24711,0.38043,0.1969,0.09567,1.83723
Rwanda,151,3.471,3.54303,3.39897,0.36875,0.94571,0.32642,0.58184,0.25276,0.45522,0.54006
Syria,152,3.462,3.66367,3.26033,0.77715,0.3961,0.50053,0.08154,0.49366,0.15135,1.06157
Tanzania,153,3.349,3.46143,3.23657,0.51114,1.04199,0.36451,0.39002,0.35426,0.06604,0.62113
Burundi,154,2.905,3.07469,2.73531,0.09162,0.62979,0.15161,0.0599,0.20444,0.08415,1.68302
Central African Republic,155,2.693,2.86488,2.52112,0,0,0.01877,0.27084,0.28088,0.05657,2.066
